TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20220101,90,1.3,1121,29,2.6,316,29,4.0,310,-3.3,2.1,1507,-9.2,413,-15.2,0.6,0.1,40.8,19.0,1113,2.1,-9.0,-9.0,-9.00,1025.8,1028.1,1030.3,1009,1024.7,2400,1.8,9.0,9.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20220101,93,0.5,472,25,1.7,1417,27,3.9,1412,-9.2,-1.2,1551,-15.9,743,-16.4,-7.0,-17.2,59.0,28.0,1349,1.7,1.2,0.8,-9.00,1019.8,1032.5,1035.6,828,1029.4,2359,0.3,8.8,9.6,-9.0,10.63,1.82,1200,-9.0,0.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,1.2,5.1,8.6,15.1,17.0
20220101,95,0.5,439,27,1.4,1606,34,2.5,1521,-8.0,0.5,1459,-16.5,641,-13.5,-7.5,-18.3,67.8,35.0,1251,2.2,1.2,0.8,-9.00,1011.8,1032.2,1035.6,234,1028.2,2342,2.8,8.2,9.6,-9.0,9.89,1.75,1200,-9.0,0.1,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20220101,98,0.7,587,29,1.7,1520,29,3.3,2250,-6.4,1.4,1442,-13.9,614,-15.0,-5.8,-17.9,52.6,28.0,1302,2.0,1.4,1.0,-9.00,1016.6,1031.7,1034.8,300,1027.7,2356,2.8,8.2,9.6,-9.0,9.80,1.73,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20220101,99,0.6,482,14,1.8,2108,34,2.6,1308,-7.4,0.6,1549,-16.0,605,-13.9,-5.0,-17.8,62.5,35.0,1313,2.2,1.2,0.8,-9.00,1028.0,1032.1,1035.2,1011,1028.1,2354,5.5,8.4,9.6,-9.0,10.14,1.71,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20220101,100,1.7,1489,29,4.8,1401,29,7.4,1348,-9.5,-0.3,1523,-18.5,743,-19.8,-7.2,-19.5,46.6,17.0,1254,1.4,1.9,1.3,-9.00,934.5,1031.9,1036.6,748,1027.3,1449,1.0,8.8,9.6,-9.0,11.31,1.98,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20220101,101,0.7,589,32,1.9,1856,34,2.4,1854,-8.2,0.0,1535,-14.9,614,-15.7,-6.6,-18.4,58.1,28.0,1412,1.8,1.2,0.8,-9.00,1022.0,1032.0,1035.1,836,1028.8,2359,-9.0,8.0,9.6,-9.0,10.05,1.72,1200,-9.0,0.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,1.3,6.5,9.9,14.8,16.5
20220101,102,4.4,3806,25,7.6,2344,27,11.5,2340,2.1,6.7,2343,-4.2,128,-2.0,-0.6,-11.9,74.3,65.0,2220,5.4,1.7,1.2,-9.00,1023.4,1028.0,1032.3,3,1023.8,2357,8.4,0.2,9.6,-9.0,3.43,0.75,1000,0.7,-9.0,8.42,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20220101,104,1.6,1384,18,3.5,731,25,5.3,100,-1.7,3.5,1511,-6.3,755,-16.4,-2.1,-7.8,32.9,14.0,1135,1.8,2.2,1.5,-9.00,1018.1,1027.7,1030.0,857,1024.9,2358,0.5,9.0,9.6,-9.0,10.26,1.80,1200,-9.0,0.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,10.4,1,2.8,7.3,10.3,14.6,16.1
20220101,105,2.5,2161,23,5.3,329,23,9.6,304,-0.4,6.4,1528,-5.7,759,-14.6,-0.4,-6.8,34.0,20.0,1133,2.1,2.7,1.9,-9.00,1024.9,1028.4,1030.6,837,1025.7,2359,1.5,8.9,9.6,-9.0,11.11,1.91,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,3.4,8.0,11.0,15.7,17.3
