TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20240901,90,2.0,1743,14,5.9,1608,14,8.4,1610,25.8,31.3,1307,20.0,602,21.0,29.3,18.9,75.8,59.0,1009,25.0,6.2,4.3,-9.00,1004.5,1006.5,1008.4,1,1004.7,1810,3.3,11.0,13.0,-9.0,23.32,3.12,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,93,1.2,1016,20,4.1,1205,18,6.5,1200,25.0,31.5,1506,20.0,302,20.1,31.4,18.2,76.6,47.0,1406,23.6,5.8,4.0,-9.00,997.1,1007.9,1009.2,622,1005.8,1613,4.5,10.2,13.0,-9.0,22.07,3.39,1200,-9.0,1.5,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.6,28.0,26.7,23.1,19.7
20240901,95,1.0,890,23,2.7,1316,25,5.6,1401,24.0,30.4,1428,18.6,520,19.3,28.9,16.9,77.9,46.0,1507,22.4,5.5,3.8,-9.00,990.5,1008.1,1009.3,714,1006.2,1538,5.4,8.8,13.0,-9.0,21.93,3.22,1200,-9.0,2.2,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,98,1.0,859,23,2.9,1153,27,6.4,1517,24.5,30.5,1257,20.1,358,20.3,30.3,18.1,79.1,51.0,1228,23.8,4.8,3.3,-9.00,994.5,1007.6,1008.5,707,1006.0,1848,4.5,7.8,13.0,-9.0,19.48,3.13,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,99,0.9,802,27,3.1,1238,27,5.8,1413,24.0,30.1,1427,20.1,409,20.7,29.6,19.0,83.8,50.0,1303,24.4,4.9,3.5,-9.00,1004.7,1008.2,1009.0,739,1006.7,1825,4.0,8.6,13.0,-9.0,21.10,3.18,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,100,2.6,2258,27,6.2,1155,23,11.8,1152,21.1,27.1,1509,15.9,16,17.0,23.4,16.2,79.6,50.0,1305,19.4,6.3,4.4,-9.00,923.4,1008.2,1011.3,10,1005.2,1509,4.0,10.5,13.0,-9.0,24.74,3.31,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,101,1.0,833,32,2.7,323,34,3.7,322,25.4,31.2,1543,21.0,446,19.2,30.4,18.4,70.8,45.0,1358,22.3,5.3,3.7,-9.00,998.8,1007.3,1008.7,626,1005.3,1536,4.1,8.6,13.0,-9.0,21.28,3.19,1200,-9.0,1.5,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.7,27.2,25.6,21.0,17.1
20240901,102,2.3,1998,18,4.7,1603,29,7.8,2329,24.7,28.5,1212,19.6,541,20.2,28.7,13.6,77.4,53.0,1213,24.0,5.5,3.9,-9.00,1001.8,1005.9,1007.0,936,1004.5,1629,5.0,8.5,13.0,-9.0,20.86,3.08,1100,15.6,-9.0,0.80,15.6,2307,10.6,2328,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,104,1.0,835,16,2.4,331,9,4.1,1246,25.9,30.8,1102,21.3,111,19.8,28.1,19.1,69.9,47.0,1047,23.2,5.8,4.0,-9.00,997.8,1006.3,1008.6,1,1004.4,1649,2.8,11.5,13.0,-9.0,23.69,3.09,1200,-9.0,0.2,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.1,24.8,23.8,19.0,14.7
20240901,105,2.0,1701,23,4.2,1257,23,7.9,1252,27.7,33.6,1430,20.9,333,19.7,27.5,18.8,63.5,41.0,1324,23.1,7.1,5.0,-9.00,1003.5,1006.5,1009.2,2,1004.5,1617,2.8,11.1,13.0,-9.0,22.72,3.07,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.2,27.5,24.3,18.9,15.5
20240901,106,2.3,1963,14,6.2,1406,16,9.4,1402,25.6,30.3,1225,19.9,555,21.0,29.0,19.5,76.9,60.0,1420,24.9,6.3,4.4,-9.00,1002.4,1007.0,1009.5,1,1005.0,1712,2.0,10.7,13.0,-9.0,23.33,3.09,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,108,2.0,1745,25,4.3,1546,27,7.5,1444,27.1,31.6,1458,24.6,557,19.5,33.0,20.0,64.9,41.0,1525,22.8,6.4,4.4,-9.00,997.1,1006.8,1007.5,746,1005.4,1825,4.5,6.9,13.0,-9.0,20.05,3.38,1200,-9.0,2.7,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.9,26.7,26.2,21.2,18.4
20240901,112,2.2,1876,23,4.2,1117,18,7.3,1114,26.0,29.0,1452,24.5,402,20.7,29.9,21.8,73.3,51.0,1517,24.4,5.5,3.9,-9.00,999.8,1007.6,1008.5,1038,1006.1,1839,4.1,6.8,13.0,-9.0,20.49,3.19,1200,-9.0,3.4,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.2,26.2,24.2,20.4,16.0
20240901,114,1.0,853,29,2.8,1049,34,5.5,1053,26.3,31.1,1536,22.4,523,18.6,31.7,20.5,64.4,38.0,1527,21.4,5.6,3.9,-9.00,990.9,1007.8,1008.8,552,1005.9,1702,5.4,7.9,13.0,-9.0,21.07,3.01,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,115,2.7,2373,23,4.3,2231,20,7.3,1403,25.2,29.8,1449,20.8,508,21.3,30.2,18.3,79.9,67.0,1320,25.4,5.7,4.0,-9.00,983.0,1007.8,1009.7,1,1006.2,1540,0.5,11.4,13.0,-9.0,22.54,3.00,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.7,24.1,22.3,17.5,14.3
20240901,119,1.7,1453,23,3.7,1043,32,6.5,1640,25.8,30.9,1421,22.8,621,20.5,32.4,21.2,74.8,45.0,1422,24.2,5.4,3.8,-9.00,1003.3,1007.8,1008.5,844,1006.3,1542,4.8,6.6,13.0,-9.0,20.00,2.90,1100,-9.0,2.4,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.0,26.7,25.1,20.4,15.8
20240901,121,0.7,585,25,2.4,1505,29,4.5,1459,23.9,30.5,1449,19.2,501,18.6,27.3,18.9,75.1,46.0,1322,21.5,-9.0,-9.0,-9.00,981.2,1008.3,1010.0,624,1005.7,1713,5.4,8.4,13.0,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,127,1.1,943,25,3.7,1202,20,7.4,1227,25.7,32.0,1446,20.8,508,19.7,30.0,19.8,71.6,46.0,1450,23.0,5.7,4.0,-9.00,994.0,1007.0,1008.2,631,1005.0,1659,4.8,8.0,13.0,-9.0,21.36,3.03,1400,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,129,1.4,1167,20,3.5,1412,23,5.4,1345,25.3,30.7,1439,20.7,402,21.2,29.9,18.8,80.1,51.0,1253,25.2,5.7,4.0,-9.00,1005.1,1008.0,1008.7,926,1006.8,1816,4.6,8.4,13.0,-9.0,22.26,3.24,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.4,26.4,26.5,20.4,17.6
20240901,130,1.4,1252,23,2.9,1808,20,7.4,1545,25.3,29.3,1326,21.6,527,22.1,29.4,18.9,83.3,70.0,829,26.7,-9.0,-9.0,-9.00,1001.8,1007.3,1009.8,1,1005.6,1625,1.9,11.7,13.0,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,131,1.2,1048,27,2.8,1114,27,5.3,1730,27.8,32.5,1605,24.7,515,20.5,31.8,22.2,65.5,46.0,1352,24.1,6.0,4.2,-9.00,1000.6,1007.2,1008.4,935,1005.5,1655,3.4,6.2,13.0,-9.0,21.05,3.38,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,133,1.3,1160,20,3.4,1116,18,6.3,1224,26.9,32.4,1331,23.3,613,20.4,31.7,20.6,69.1,44.0,1354,23.9,5.7,4.0,-9.00,1000.2,1007.8,1008.8,804,1006.0,1756,4.3,8.0,12.9,-9.0,20.10,3.55,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,29.1,28.2,26.9,22.6,18.3
20240901,135,1.4,1173,27,3.9,1314,29,7.4,1143,25.1,31.7,1600,19.7,601,19.0,28.6,19.7,71.5,45.0,1644,22.0,6.6,4.6,-9.00,980.1,1007.6,1009.3,702,1005.3,1600,4.0,10.5,12.9,-9.0,23.84,3.43,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,136,1.2,1037,27,3.7,1212,25,6.4,1308,26.4,32.4,1501,22.2,2337,20.2,32.7,21.0,70.8,49.0,1510,23.6,6.0,4.2,-9.00,992.4,1008.3,1010.1,1,1006.1,1625,4.1,9.3,13.0,-9.0,21.97,3.13,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,137,0.8,649,25,3.0,1419,25,6.1,1344,26.5,33.2,1439,22.5,603,20.3,30.9,21.1,70.8,44.0,1557,23.8,6.2,4.3,-9.00,996.0,1006.9,1008.4,1,1004.8,1556,3.6,10.0,12.9,-9.0,23.20,3.23,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,138,2.2,1939,11,6.2,1523,11,8.6,1549,27.3,32.3,1233,23.6,535,20.5,31.3,21.8,67.6,41.0,1234,24.1,6.5,4.6,-9.00,1006.2,1006.6,1008.6,1,1004.5,1608,4.5,9.0,12.9,-9.0,20.24,3.11,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.1,25.2,24.1,20.4,17.3
20240901,140,2.5,2152,29,5.7,1404,29,9.0,1408,26.2,30.4,1037,22.6,627,22.1,32.7,20.7,79.3,59.0,1517,26.5,-9.0,-9.0,-9.00,1005.6,1008.7,1009.6,1022,1007.5,1706,3.1,9.4,12.9,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,143,1.6,1392,27,3.5,1433,27,6.3,1248,27.9,34.3,1617,22.2,611,19.3,33.2,21.3,62.0,37.0,1615,22.4,6.9,4.9,-9.00,1001.3,1007.4,1009.4,751,1005.1,1622,4.1,9.6,12.9,-9.0,22.96,3.22,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,146,1.5,1276,27,3.5,1644,25,6.2,1524,27.5,31.9,1336,23.8,622,21.8,29.9,19.6,72.1,49.0,1220,26.0,6.2,4.3,-9.00,1001.1,1008.0,1008.8,751,1006.4,1728,4.3,10.9,12.9,-9.0,21.97,3.26,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,152,1.5,1285,16,3.3,1631,9,6.9,1611,25.7,30.2,1306,21.4,527,20.9,31.2,19.9,75.8,56.0,1120,24.7,5.8,4.1,-9.00,998.2,1007.4,1009.1,11,1005.8,1558,3.6,10.0,12.9,-9.0,21.20,3.14,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,155,1.6,1401,11,4.2,1516,11,7.0,1611,27.0,32.5,1246,22.9,506,21.7,32.2,20.2,74.0,49.0,1144,26.0,5.9,4.1,-9.00,1003.8,1007.8,1008.9,1,1006.4,1444,1.9,10.7,12.9,-9.0,21.25,2.80,1000,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,156,1.0,866,25,2.8,1429,32,5.0,1635,27.4,32.5,1355,22.9,536,21.3,31.3,22.8,70.4,45.0,1540,25.3,5.9,4.2,-9.00,1000.2,1008.1,1009.1,12,1006.4,1630,2.9,10.3,12.9,-9.0,22.73,3.48,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20240901,159,2.8,2389,18,5.0,1427,16,7.2,1500,27.6,31.2,1158,24.2,600,21.8,32.4,19.1,71.0,57.0,1204,26.1,7.2,5.1,-9.00,999.1,1006.9,1008.0,1,1005.8,1600,2.1,10.8,12.9,-9.0,24.63,3.40,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.1,26.7,25.2,20.8,18.8
20240901,162,2.3,1951,9,4.7,1527,9,7.3,1616,27.3,31.9,1504,23.0,527,21.6,32.4,19.2,72.5,49.0,1446,25.8,6.5,4.5,-9.00,1004.2,1007.7,1008.8,16,1006.3,1656,0.9,10.7,12.9,-9.0,23.19,3.01,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
