TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20230501,90,2.2,1888,29,4.8,18,29,10.5,927,14.2,17.9,952,9.5,2140,1.3,15.7,5.3,42.5,24.0,937,6.7,-9.0,-9.0,-9.00,1013.1,1015.2,1019.6,2212,1009.8,103,2.4,10.2,13.8,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230501,93,1.4,1207,27,5.4,1229,29,9.8,1142,12.6,20.6,1735,4.9,533,4.0,15.2,2.9,63.8,24.0,1712,8.3,5.8,4.1,-9.00,1005.5,1017.0,1021.9,2349,1011.5,1,2.8,11.8,13.8,-9.0,24.12,3.31,1100,0.2,-9.0,0.58,0.2,-9,0.2,-9,-9.0,-9,-9.0,-9,-9.0,-9,14.0,13.6,12.5,11.1,11.3
20230501,95,1.7,1437,29,4.6,1152,29,8.8,1140,13.1,19.9,1607,5.6,535,3.3,15.7,0.1,57.9,24.0,1544,7.9,6.5,4.5,-9.00,998.9,1017.4,1022.4,2357,1012.2,1,3.0,12.1,13.8,-9.0,25.56,3.11,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230501,98,1.7,1483,29,5.3,1144,29,10.1,1141,13.6,21.7,1429,8.3,2343,4.3,16.7,4.3,59.0,26.0,1519,8.5,6.7,4.7,-9.00,1003.5,1017.3,1022.1,2354,1012.1,1,3.4,10.2,13.8,-9.0,25.39,3.36,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230501,99,1.4,1215,25,4.1,1552,34,9.1,1244,12.8,20.8,1421,7.0,2327,5.6,16.3,5.4,67.8,31.0,1654,9.2,6.2,4.3,-9.00,1014.3,1018.0,1022.4,2345,1012.9,1,3.1,11.1,13.8,-9.0,26.07,3.50,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230501,100,3.9,3366,29,7.0,1242,29,14.2,946,8.3,14.6,1600,2.7,2329,0.9,12.1,-0.9,64.1,32.0,1605,6.6,5.2,3.6,-9.00,927.3,1017.2,1024.8,2348,1012.1,137,4.3,9.9,13.7,-9.0,24.41,3.12,1100,2.0,-9.0,-9.00,1.4,1,0.7,10,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230501,101,1.7,1457,32,5.1,1151,32,9.3,1143,13.3,20.8,1608,5.8,519,3.2,16.4,2.6,57.9,21.0,1545,7.9,6.5,4.5,-9.00,1007.4,1016.4,1021.6,2400,1011.1,1,3.4,10.1,13.8,-9.0,23.84,3.15,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,14.9,13.4,12.5,13.0,15.2
20230501,102,3.4,2954,18,6.2,1415,36,8.8,902,12.2,17.8,1200,8.8,228,3.6,16.5,5.9,59.6,27.0,1140,8.0,6.7,4.7,-9.00,1012.0,1016.4,1019.4,2218,1011.3,1,2.1,8.3,13.8,-9.0,22.44,3.57,1200,0.0,-9.0,1.25,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230501,104,1.9,1601,29,6.1,1026,27,10.9,1018,12.7,18.5,1107,8.6,244,2.0,16.5,6.1,52.1,24.0,1512,7.2,5.9,4.1,-9.00,1006.3,1015.3,1020.0,2311,1009.6,15,2.3,11.0,13.7,-9.0,22.03,3.08,1000,1.4,-9.0,1.58,1.1,121,0.9,209,-9.0,-9,-9.0,-9,-9.0,-9,15.1,12.8,11.7,11.1,8.5
20230501,105,2.6,2272,5,6.4,1006,2,12.3,938,15.2,20.3,1628,11.2,343,3.3,16.7,5.1,48.0,24.0,1513,7.8,6.7,4.7,-9.00,1012.6,1015.8,1020.4,2302,1010.4,44,3.4,9.9,13.7,-9.0,20.40,2.97,1000,0.3,-9.0,-9.00,0.3,120,0.2,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.9,14.3,13.0,12.6,14.1
