TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20221201,90,2.7,2336,27,6.0,1639,29,11.6,1630,-3.3,0.7,1327,-7.2,656,-19.7,-1.0,-8.8,26.8,23.0,117,1.3,-9.0,-9.0,-9.00,1026.6,1028.8,1030.7,838,1025.5,1506,1.1,9.0,9.7,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,93,1.2,1051,23,4.7,1618,23,8.2,1600,-6.3,-1.1,1509,-11.0,713,-15.6,-3.3,-11.7,49.3,30.0,1135,1.9,1.6,1.1,-9.00,1020.0,1032.6,1034.9,121,1029.6,1529,1.3,9.0,9.8,-9.0,11.47,1.98,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,6.8,11.6,14.3,18.7,19.2
20221201,95,1.2,1004,27,3.3,1417,29,7.6,1408,-7.5,-2.5,1521,-12.0,731,-15.8,-1.1,-13.6,54.0,29.0,1312,1.8,1.3,0.9,-9.00,1012.9,1033.3,1035.8,10,1030.4,1519,1.3,8.2,9.7,-9.0,10.43,1.78,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,98,0.9,795,32,3.3,1230,29,7.1,1223,-6.6,-0.8,1512,-11.7,711,-16.4,-1.7,-12.1,46.8,28.0,1501,1.7,1.5,1.0,-9.00,1017.8,1033.0,1035.5,107,1030.2,1506,2.0,8.5,9.8,-9.0,10.91,1.93,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,99,1.0,827,32,3.7,1618,32,6.3,1506,-7.2,-1.9,1435,-12.2,709,-14.3,-1.3,-11.0,59.1,35.0,1227,2.0,1.3,0.9,-9.00,1029.6,1033.6,1036.1,101,1031.1,1508,1.9,8.7,9.8,-9.0,10.63,1.80,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,100,5.3,4607,27,9.3,1605,27,15.4,1252,-9.6,-5.4,1313,-13.9,726,-21.0,-6.6,-14.2,39.6,26.0,1001,1.2,2.1,1.4,-9.00,933.6,1030.9,1033.6,727,1027.1,1444,1.3,9.1,9.8,-9.0,12.51,2.16,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,101,1.7,1442,23,4.2,1451,27,7.4,1336,-5.4,-0.3,1350,-10.2,755,-15.3,-3.3,-12.5,47.3,29.0,1043,1.9,1.6,1.1,-9.00,1022.3,1032.2,1034.5,122,1029.4,1428,1.5,7.9,9.8,-9.0,9.68,1.77,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,8.6,12.9,15.5,18.4,18.4
20221201,102,4.3,3674,34,10.4,2349,34,15.1,2341,-2.7,0.4,2301,-5.4,556,-6.5,-0.6,-3.8,75.4,50.0,2024,3.8,1.4,1.0,-9.00,1026.4,1031.1,1033.5,12,1029.6,1557,8.6,1.8,9.7,-9.0,5.83,1.81,1100,3.7,-9.0,16.60,-9.0,-9,-9.0,-9,-9.0,-9,5.2,1435,5.2,1435,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,104,1.4,1176,27,4.3,5,25,6.7,13,-1.8,3.2,1455,-6.9,654,-17.7,-0.1,-10.1,29.4,20.0,212,1.5,2.3,1.6,-9.00,1018.7,1028.4,1030.5,845,1025.4,1441,0.8,8.8,9.8,-9.0,12.02,2.03,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,7.3,12.7,14.6,17.1,15.5
20221201,105,2.9,2509,27,5.1,1815,27,9.9,1958,-1.1,5.3,1420,-5.3,731,-15.5,0.8,-6.6,32.9,23.0,1021,1.9,-9.0,-9.0,-9.00,1025.5,1029.0,1031.3,900,1026.0,1437,1.4,8.9,9.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,8.9,13.6,15.4,17.8,17.8
20221201,106,2.9,2506,29,5.2,915,36,9.4,211,-0.1,4.4,1422,-3.0,553,-17.3,-0.3,-9.4,26.3,19.0,833,1.6,-9.0,-9.0,-9.00,1023.6,1028.7,1031.1,900,1026.0,1438,2.0,8.2,9.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,108,2.4,2068,29,4.3,1416,2,7.7,15,-5.4,-1.2,1542,-9.4,752,-16.0,-2.4,-13.1,43.4,34.0,454,1.8,1.7,1.2,-9.00,1021.0,1032.1,1034.4,101,1029.7,1513,1.5,8.1,9.8,-9.0,10.23,1.82,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,9.6,13.5,16.2,18.6,18.8
20221201,112,3.0,2610,32,6.9,144,36,9.9,150,-5.3,-2.1,1502,-8.7,516,-15.9,-1.9,-10.4,43.1,28.0,953,1.8,1.8,1.3,-9.00,1023.4,1032.4,1034.7,337,1030.2,1459,1.9,8.1,9.8,-9.0,10.18,1.76,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,9.5,12.9,14.6,17.3,17.1
20221201,114,1.2,1020,27,3.0,1438,25,5.7,1500,-4.3,-0.9,1527,-8.2,739,-14.7,-1.2,-17.0,44.6,27.0,1102,2.0,1.7,1.2,-9.00,1012.8,1032.3,1034.2,127,1029.8,1513,1.3,8.8,9.8,-9.0,12.13,2.13,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20221201,115,3.6,3107,32,7.0,851,5,14.2,452,1.4,3.0,1226,0.2,709,-5.4,2.3,-2.2,60.9,46.0,1430,4.1,2.2,1.5,-9.00,997.8,1025.5,1027.0,1000,1024.4,1457,7.8,4.2,9.8,-9.0,8.82,2.10,1200,0.7,0.5,10.17,-9.0,-9,-9.0,-9,-9.0,-9,0.6,855,0.6,855,12.3,14.6,16.0,17.1,15.7
20221201,119,1.6,1406,34,3.7,123,36,6.8,518,-5.6,-2.3,1301,-9.2,502,-14.3,-0.9,-12.3,51.6,34.0,950,2.1,1.3,0.9,-9.00,1027.7,1032.9,1035.2,103,1030.8,1447,1.4,8.9,9.8,-9.0,10.35,1.93,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
